2000.0, RUNNING, 8989374615436851
100000.0, BLOCKED, 5807007076043875
5500.0, RUNNING, 04514126124888789
0.0, RUNNING, 543503435295281199
5845.25, RUNNING, 70097154922560539
96.25, RUNNING, 944886204475764987
58421.0, RUNNING, 885452083030038841
58452.25, RUNNING, 85759299454694193
412.25, RUNNING, 520175778165282978
0.0, RUNNING, 395491695313123769
417.0, RUNNING, 802573939408237027
12.0, RUNNING, 520175778165282978
1452841.0, RUNNING, 031349698688737606
45841.20, BLOCKED, 604684011915906746
45874.02, BLOCKED, 618265766964724699
4512.0, BLOCKED, 445814431785914540
7895.0, BLOCKED, 01700366294473570
14521.0, BLOCKED, 329264694791437779
1474.0, BLOCKED, 999756752053612474
96369.0, BLOCKED, 05842290436375685



